5683,ESPECIALIZACIÓN EN ENFERMERÍA EN CUIDADO CRÍTICO DEL ADULTO,True
5684,ESPECIALIZACIÓN EN ENFERMERÍA EN CUIDADO A LAS PERSONAS CON HERIDAS Y OSTOMÍAS,True
5685,ESPECIALIZACIÓN EN MEDICINA CRÍTICA Y CUIDADO INTENSIVO,True
5687,ESPECIALIZACIÓN EN CIRUGÍA DE TRAUMA Y EMERGENCIAS,True
5689,ESPECIALIZACIÓN EN ENFERMEDADES INFECCIOSAS EN PEDIATRÍA,True
5691,ESPECIALIZACIÓN EN ENDODONCIA,True
5751,ESPECIALIZACIÓN EN GEOMÁTICA,True
5772,ESPECIALIZACIÓN EN ESTRUCTURAS,True
5775,ESPECIALIZACIÓN EN REDES DE COMUNICACIÓN,True
5778,ESPECIALIZACIÓN EN AUTOMATIZACIÓN INDUSTRIAL,True
5782,ESPECIALIZACIÓN EN INGENIERÍA SANITARIA Y AMBIENTAL,True
5784,ESPECIALIZACIÓN EN GESTIÓN DE LA INNOVACIÓN TECNOLÓGICA,True
5785,ESPECIALIZACIÓN EN SISTEMAS DE TRANSMISIÓN Y DISTRIBUCIÓN DE ENERGÍA ELÉCTRICA,True
5796,ESPECIALIZACIÓN EN ESTADÍSTICA APLICADA,True
5797,ESPECIALIZACIÓN EN LOGÍSTICA,True
5881,ESPECIALIZACIÓN EN ADMINISTRACIÓN PÚBLICA (ESAP),True
5882,ESPECIALIZACIÓN EN FINANZAS,True
5888,ESPECIALIZACIÓN EN GESTIÓN DE LA CALIDAD Y LA PRODUCTIVIDAD,True
5889,ESPECIALIZACIÓN EN GERENCIA DE MARKETING ESTRATÉGICO,True
7173,MAESTRÍA EN CIENCIAS - QUÍMICA,True
7178,MAESTRÍA EN CIENCIAS - FÍSICA,True
7276,MAESTRÍA EN HISTORIA,True
7277,MAESTRÍA EN INTERVENCIÓN SOCIAL,True
7278,MAESTRÍA EN ESTUDIOS INTERLINGÜÍSTICOS E INTERCULTURALES,True
7381,MAESTRÍA EN SOCIOLOGÍA,True
7414,MAESTRÍA EN EDUCACIÓN - ÉNFASIS EN ENSEÑANZA DE LAS CIENCIAS NATURALES,True
7415,MAESTRÍA EN EDUCACIÓN - ÉNFASIS EN PEDAGOGÍA DEL ENTRENAMIENTO DEPORTIVO,True
7419,MAESTRÍA EN EDUCACIÓN ÉNFASIS EN GÉNERO EDUCACIÓN POPULAR Y DESARROLLO,True
7576,MAESTRÍA EN ARQUITECTURA Y URBANISMO,True
7670,MAESTRÍA EN CIENCIAS BIOMÉDICAS,True
7680,MAESTRÍA EN SALUD PÚBLICA,True
